,ticker,currentPrice,beta,marketCap,volume,dividendYield,sector
330,NKE,75.05,1.254,110841348096,7897821,2.09,Consumer Cyclical
331,NI,42.38,0.545,19948394496,1116694,2.64,Utilities
332,NDSN,216.26,0.888,12220614656,118164,1.45,Industrials
333,NSC,278.28,1.303,62433230848,1520109,1.94,Industrials
334,NTRS,130.765,1.272,24931655680,318774,2.43,Financial Services
335,NOC,574.825,0.149,82305171456,204246,1.61,Industrials
336,NCLH,25.381,2.14,11340408832,30214430,0.0,Consumer Cyclical
337,NRG,167.17,1.124,32683407360,1707510,1.06,Utilities
338,NUE,143.19,1.717,33041238016,728555,1.54,Communication Services
339,NVDA,178.715,2.131,4358429999104,134199629,0.02,Technology
340,NVR,7536.03,0.991,20923936768,6613,0.0,Consumer Cyclical
341,NXPI,214.82,1.412,54159347712,790574,1.84,Technology
342,ORLY,99.07,0.583,84096655360,1452518,0.0,Consumer Cyclical
343,OXY,44.17,0.846,43469152256,3660348,2.16,Energy
344,ODFL,148.13,1.2036966497799426,31303571456,2035310,0.76,Industrials
345,OMC,72.13,0.936,13973239808,1313565,3.85,Communication Services
346,ON,56.195,1.431,23483047936,4156955,0.0,Technology
347,OKE,82.41,0.919,51475927040,1089152,5.01,Energy
348,ORCL,257.315,1.394,722754076672,9771976,0.8,Technology
349,OTIS,85.93,0.972,33725378560,1613683,1.94,Industrials
350,PCAR,98.91,0.944,51923697664,971323,1.33,Industrials
351,PKG,193.92,0.842,17448921088,455414,2.52,Consumer Cyclical
352,PLTR,158.105,2.593,373113552896,29048789,0.0,Technology
353,PANW,175.5072,0.971,117028200448,19815107,0.0,Technology
354,PARA,12.26,1.213,8640002048,7415526,1.5,Communication Services
355,PH,731.65,1.333,93488775168,173652,0.98,Industrials
356,PAYX,145.49,0.874,52411899904,705601,2.96,Technology
357,PAYC,234.105,0.778,13113976832,216701,0.64,Technology
358,PYPL,69.095,1.452,66011844608,9545097,0.0,Financial Services
359,PNR,102.29,1.094,16768502784,642024,0.99,Industrials
360,PEP,139.14,0.461,190493802496,4189275,3.98,Consumer Defensive
361,PFE,23.635,0.496,134373720064,29868815,7.22,Healthcare
362,PCG,13.865,0.552,30470834176,23799123,0.71,Utilities
363,PM,164.285,0.535,255724388352,3075511,3.33,Consumer Defensive
364,PSX,123.7,0.998,49990135808,931573,3.86,Energy
365,PNW,90.1,0.419,10757850112,360159,4.0,Utilities
366,PNC,191.42,1.075,75416797184,533240,3.53,Financial Services
367,POOL,307.06,1.101,11543982080,158887,1.6,Industrials
368,PPG,106.035,1.15,24067295232,1589849,2.67,Communication Services
369,PPL,35.795,0.653,26461954048,3558423,3.02,Utilities
370,PFG,77.82,0.988,17369423872,486484,4.07,Financial Services
371,PG,150.95,0.403,353524908032,5516204,2.77,Consumer Defensive
372,PGR,243.0288,0.371,142463483904,1475443,2.03,Financial Services
373,PLD,107.41,1.246,99683246080,1535176,3.72,Real Estate
374,PRU,104.175,1.042,36878680064,1397110,5.31,Financial Services
375,PEG,89.77,0.5,44795052032,733010,2.84,Utilities
376,PTC,216.44,1.173,25961545728,1395956,0.0,Technology
377,PSA,273.32,0.853,47948804096,780038,4.16,Real Estate
378,PHM,113.02,1.299,22298619904,633276,0.78,Consumer Cyclical
379,PWR,402.83,1.078,59699003392,1609963,0.1,Industrials
380,QCOM,146.76,1.266,161142472704,14170337,2.24,Technology
381,DGX,168.86,0.493,18882430976,332278,1.9,Healthcare
382,RL,301.54,1.503,18265182208,213279,1.2,Consumer Cyclical
383,RJF,168.11,1.038,33621999616,276111,1.18,Financial Services
384,RTX,157.37,0.626,210646040576,2073833,1.72,Industrials
385,O,56.425,0.762,50956288000,2677897,5.68,Real Estate
386,REG,71.735,0.6002360046805773,13100462080,421121,3.9,Real Estate
387,REGN,552.48,0.324,59648499712,475271,0.63,Healthcare
388,RF,25.525,0.99,22819350528,9392517,4.12,Financial Services
389,RSG,231.37,0.619,72237416448,1064612,1.08,Industrials
390,RMD,275.95,0.774,40461725696,586611,0.76,Healthcare
391,RVTY,89.97,0.98,10604764160,473941,0.31,Healthcare
392,ROK,352.56,1.37,39739154432,467464,1.49,Industrials
393,ROL,57.44,0.751,27837720576,617402,1.15,Consumer Cyclical
394,ROP,552.0,1.02,59348279296,323718,0.6,Technology
395,ROST,137.07,1.116,44831625216,809810,1.17,Consumer Cyclical
396,RCL,320.94,2.177,87176290304,1558847,0.91,Consumer Cyclical
397,SPGI,551.03,1.187,168991539200,1188428,0.73,Financial Services
398,CRM,259.84,1.366,248407031808,3212087,0.63,Technology
399,SBAC,225.02,0.775,24177274880,340184,1.96,Real Estate
400,SLB,34.19,1.017,51000348672,6273698,3.34,Energy
401,STX,155.94,1.47,33215219712,4245612,1.95,Technology
402,SRE,81.41,0.637,53093158912,1281411,3.18,Utilities
403,NOW,947.71,0.946,196667850752,1155566,0.0,Technology
404,SHW,331.985,1.182,82774810624,803467,0.95,Communication Services
405,SPG,164.28,1.461,61956395008,486646,5.08,Real Estate
406,SWKS,69.1,1.167,10373913600,796581,3.93,Technology
407,SJM,107.56,0.292,11474930688,662432,4.03,Consumer Defensive
408,SW,44.81,1.002,23391401984,2656584,3.64,Consumer Cyclical
409,SNA,323.34,0.744,16866513920,65466,2.66,Industrials
410,SOLV,72.37,1.0015318990417312,12520950784,229515,0.0,Healthcare
411,SO,93.95,0.365,103362846720,4809880,3.12,Utilities
412,LUV,31.01,1.204,16286080000,6149334,2.34,Industrials
413,SWK,67.935,1.172,10515793920,1201675,4.9,Industrials
414,SBUX,91.33,1.004,103814815744,8276767,2.63,Consumer Cyclical
415,STT,112.26,1.474,32057188352,546992,2.97,Financial Services
416,STLD,128.035,1.381,19007307776,554104,1.57,Communication Services
417,STE,228.675,0.924,22494988288,263133,0.99,Healthcare
418,SYK,398.55,0.922,152311857152,924452,0.84,Healthcare
